Model_ID,Epoch,learning_rate,Acc_train,Acc_val,Loss_train,Loss_val
80_40_node_layers,1,5e-05,0.26869076,0.31324031949043274,2.9081744597057746,2.849375319436965
80_40_node_layers,2,5e-05,0.37460512,0.3893129825592041,2.7491041501809437,2.670980804058777
80_40_node_layers,3,5e-05,0.4309407,0.45038166642189026,2.5267412706022307,2.431699708249262
80_40_node_layers,4,5e-05,0.5137768,0.5509344339370728,2.2569300874821887,2.168811751466326
80_40_node_layers,5,5e-05,0.6088101,0.6201632022857666,1.9874982207898468,1.9207340342711698
80_40_node_layers,6,5e-05,0.6506669,0.6530665755271912,1.7449847969853196,1.7000690235154006
80_40_node_layers,7,5e-05,0.67637765,0.6728086471557617,1.5339246961935733,1.5102112619272499
80_40_node_layers,8,5e-05,0.70542294,0.7057120203971863,1.3562765235271568,1.3520560721153647
80_40_node_layers,9,5e-05,0.73218673,0.7254540920257568,1.2128020045045134,1.2265429142181044
80_40_node_layers,10,5e-05,0.749649,0.7354567050933838,1.1002562500460602,1.1282523650971172
80_40_node_layers,11,5e-05,0.7603545,0.7449328899383545,1.0130950038832252,1.0533162495373865
80_40_node_layers,12,5e-05,0.766146,0.7491444945335388,0.9460551893660879,0.9953288235109585
80_40_node_layers,13,5e-05,0.77272725,0.7586206793785095,0.8948575700111832,0.9518310656105728
80_40_node_layers,14,5e-05,0.7793963,0.7596735954284668,0.8554265891597663,0.9185319413759734
80_40_node_layers,15,5e-05,0.7832573,0.7612529397010803,0.82491866748933,0.892491417594507
80_40_node_layers,16,5e-05,0.78474903,0.7652013897895813,0.800904300682333,0.8732268735589903
80_40_node_layers,17,5e-05,0.788259,0.7680968642234802,0.7820364723878394,0.8569893564918099
80_40_node_layers,18,5e-05,0.7902773,0.7688865661621094,0.7666818500088156,0.8441815651790441
80_40_node_layers,19,5e-05,0.79159355,0.7691497802734375,0.7544143744814643,0.8347247992731703
80_40_node_layers,20,5e-05,0.7923833,0.7702026963233948,0.7442135393786907,0.8256949499488724
