Model_ID,Epoch,learning_rate,Acc_train,Acc_val,Loss_train,Loss_val
combo3_120_60,1,0.0001,0.462718,0.646222710609436,2.616726180557045,2.047295912719771
combo3_120_60,2,0.0001,0.7081935,0.7423006296157837,1.5177465375609678,1.1406456981404387
combo3_120_60,3,0.0001,0.7732807,0.7699394822120667,0.9741724460561952,0.8864234362849752
combo3_120_60,4,0.0001,0.7878249,0.7791523933410645,0.8048528694251369,0.8025831511912455
combo3_120_60,5,0.0001,0.79453766,0.7783627510070801,0.7412836326349327,0.7668904994437179
combo3_120_60,6,0.0001,0.79519576,0.7825743556022644,0.7124854243676417,0.7475596266879819
combo3_120_60,7,0.0001,0.7974992,0.7828375697135925,0.6963291769398008,0.7372712357228102
combo3_120_60,8,0.0001,0.79868376,0.7838904857635498,0.6860843032745595,0.7310039358378775
combo3_120_60,9,0.0001,0.7993419,0.7820479273796082,0.6794250935933903,0.7260128150302568
combo3_120_60,10,0.0001,0.8007897,0.7836272716522217,0.6743562820907799,0.7229051831741966
combo3_120_60,11,0.0001,0.8013162,0.7844169735908508,0.6700662128977887,0.7190258089540255
combo3_120_60,12,0.0001,0.8017111,0.7844169735908508,0.6675240917282694,0.719041999420639
combo3_120_60,13,0.0001,0.801053,0.7859963178634644,0.6645711038998374,0.7165264065217332
combo3_120_60,14,0.0001,0.80217177,0.7849434018135071,0.6623830278400686,0.7153649090559554
combo3_120_60,15,0.0001,0.80217177,0.7857331037521362,0.6602740454964043,0.7144031331990386
combo3_120_60,16,0.0001,0.80250084,0.7875756621360779,0.6583450682738299,0.7140597072391957
combo3_120_60,17,0.0001,0.80315894,0.7867860198020935,0.6570665213417638,0.7123051240400881
combo3_120_60,18,0.0001,0.80342215,0.7852066159248352,0.6551302237312979,0.7108577138406724
combo3_120_60,19,0.0001,0.80335635,0.7852066159248352,0.6542977848112603,0.7107340990791009
combo3_120_60,20,0.0001,0.8036196,0.7859963178634644,0.6530163295255675,0.7101217341535999
combo3_120_60,21,0.0001,0.80394864,0.7854698896408081,0.6519016457608202,0.7099673202176507
combo3_120_60,22,0.0001,0.80282986,0.7841536998748779,0.6506365827076056,0.7106763302542467
combo3_120_60,23,0.0001,0.8043435,0.7857331037521362,0.6497874987423518,0.7094942551909323
combo3_120_60,24,0.0001,0.80309314,0.7862595319747925,0.6491694848919511,0.7097318443413564
combo3_120_60,25,0.0001,0.8053965,0.788365364074707,0.6480014101342568,0.7083274877896651
combo3_120_60,26,0.0001,0.80388284,0.7854698896408081,0.6466422565793787,0.7100936040246948
combo3_120_60,27,0.0001,0.8051991,0.7857331037521362,0.6465208741248772,0.7102994468375927
combo3_120_60,28,0.0001,0.80375123,0.7854698896408081,0.6458817927372146,0.7085858445068384
combo3_120_60,29,0.0001,0.8040803,0.784680187702179,0.6449915941979941,0.7100395218859725
combo3_120_60,30,0.0001,0.804541,0.7865227460861206,0.6439625908725157,0.7081243415731102
combo3_120_60,31,0.0001,0.8044751,0.7873124480247498,0.6439796452814123,0.7064826302259776
combo3_120_60,32,0.0001,0.8040145,0.7870492339134216,0.6431270997298317,0.7066670482520776
combo3_120_60,33,0.0001,0.80487,0.7852066159248352,0.6421629000274944,0.7074698880962021
combo3_120_60,34,0.0001,0.8052649,0.784680187702179,0.6420206680310404,0.7084465635924253
combo3_120_60,35,0.0001,0.8048042,0.7852066159248352,0.6411932675961641,0.7086753226732323
combo3_120_60,36,0.0001,0.8056598,0.7859963178634644,0.6405550468160197,0.7079546611915923
combo3_120_60,37,0.0001,0.8051991,0.7865227460861206,0.640151307087817,0.708597589273395
combo3_120_60,38,0.0001,0.8048042,0.7849434018135071,0.639407345769279,0.7061995237430292
combo3_120_60,39,0.0001,0.8050675,0.7854698896408081,0.6394407528997762,0.7073757326988899
combo3_120_60,40,0.0001,0.8049358,0.7857331037521362,0.6385928578030008,0.7080546063666407
combo3_120_60,41,0.0001,0.80612046,0.7862595319747925,0.6382419233339404,0.7063117045639502
combo3_120_60,42,0.0001,0.804541,0.7844169735908508,0.6375769288338262,0.7071081137431235
combo3_120_60,43,0.0001,0.80559397,0.7852066159248352,0.6371478177638931,0.706957945496699
combo3_120_60,44,0.0001,0.8064495,0.7862595319747925,0.6367368728442191,0.7074713632444797
combo3_120_60,45,0.0001,0.8065153,0.7859963178634644,0.6361953313333418,0.7075292064849249
combo3_120_60,46,0.0001,0.80717343,0.7865227460861206,0.635475642934525,0.7056875135999631
combo3_120_60,47,0.0001,0.8057256,0.7857331037521362,0.6352007282352949,0.7075599952571233
combo3_120_60,48,0.0001,0.8059888,0.7862595319747925,0.6347959502349758,0.7070697340471991
combo3_120_60,49,0.0001,0.8053307,0.7862595319747925,0.6345081380065549,0.7072222917040388
combo3_120_60,50,0.0001,0.8065153,0.784680187702179,0.633885096377862,0.7077473453328182
combo3_120_60,51,0.0001,0.8071076,0.7865227460861206,0.6334705533734981,0.7065059446635827
combo3_120_60,52,0.0001,0.80658114,0.7859963178634644,0.6331496577233067,0.7080000753024905
combo3_120_60,53,0.0001,0.80717343,0.784680187702179,0.6327951887125403,0.7069311254305035
combo3_120_60,54,0.0001,0.80684435,0.7854698896408081,0.6324627390461715,0.7076926045933658
combo3_120_60,55,0.0001,0.8064495,0.7852066159248352,0.6320947382394402,0.7076504751392715
combo3_120_60,56,0.0001,0.8058572,0.788365364074707,0.6315175454253309,0.7061640792816807
combo3_120_60,57,0.0001,0.80625206,0.7881021499633789,0.6313679882082824,0.7060879765921249
combo3_120_60,58,0.0001,0.8057914,0.7865227460861206,0.6308971982835428,0.7073496039147815
combo3_120_60,59,0.0001,0.80684435,0.7857331037521362,0.6306998672356688,0.7086060939571925
combo3_120_60,60,0.0001,0.80625206,0.7865227460861206,0.6300410709909876,0.7083599592987315
combo3_120_60,61,0.0001,0.8059888,0.7867860198020935,0.6299150728324245,0.7068706413544175
combo3_120_60,62,0.0001,0.8065153,0.7862595319747925,0.629024162214812,0.7065213241053745
combo3_120_60,63,0.0001,0.8065153,0.7865227460861206,0.6291763642384214,0.706968193855622
combo3_120_60,64,0.0001,0.80684435,0.7862595319747925,0.6288598643474259,0.7063307608388292
combo3_120_60,65,0.0001,0.8071076,0.7854698896408081,0.6285137621636216,0.7076886976100984
combo3_120_60,66,0.0001,0.80677855,0.784680187702179,0.6280018600557697,0.7082369904607244
combo3_120_60,67,0.0001,0.80612046,0.7873124480247498,0.627360528969341,0.7073178464062875
combo3_120_60,68,0.0001,0.80638367,0.7854698896408081,0.6274812495681007,0.7076977425011939
combo3_120_60,69,0.0001,0.80684435,0.7859963178634644,0.6270835964763662,0.7083008303143973
combo3_120_60,70,0.0001,0.8065153,0.7844169735908508,0.6266347411079758,0.707533644653992
combo3_120_60,71,0.0001,0.8064495,0.7852066159248352,0.6263022119550181,0.7102312716285503
combo3_120_60,72,0.0001,0.80743665,0.7862595319747925,0.6259929943688805,0.7065092197340643
combo3_120_60,73,0.0001,0.80697596,0.7859963178634644,0.6259895606784689,0.7071531585844983
combo3_120_60,74,0.0001,0.8076341,0.7867860198020935,0.6252518768803231,0.7085763315019811
combo3_120_60,75,0.0001,0.8064495,0.7857331037521362,0.6253675108247778,0.7066495829771995
combo3_120_60,76,0.0001,0.80717343,0.7862595319747925,0.624826426006297,0.7079618984098401
combo3_120_60,77,0.0001,0.80750245,0.7852066159248352,0.6248404018029291,0.7079018345472844
combo3_120_60,78,0.0001,0.80684435,0.7844169735908508,0.624604919047762,0.7070231403950548
combo3_120_60,79,0.0001,0.8064495,0.7838904857635498,0.6240087675907063,0.707979785200482
combo3_120_60,80,0.0001,0.80730504,0.7852066159248352,0.6236399640727882,0.7072049214451461
combo3_120_60,81,0.0001,0.8084238,0.7852066159248352,0.6232900950539147,0.7068499616805928
combo3_120_60,82,0.0001,0.80737084,0.7844169735908508,0.6230302882139602,0.7082899247668046
combo3_120_60,83,0.0001,0.80697596,0.7862595319747925,0.622762610595373,0.7077266258545756
combo3_120_60,84,0.0001,0.8076999,0.784680187702179,0.6225864004367039,0.7085240623234886
combo3_120_60,85,0.0001,0.80743665,0.7859963178634644,0.621537659445967,0.7099227464710546
combo3_120_60,86,0.0001,0.8082264,0.7859963178634644,0.622059020540282,0.7098885216377823
combo3_120_60,87,0.0001,0.8078973,0.7867860198020935,0.6213758487182057,0.7085464972042668
combo3_120_60,88,0.0001,0.80743665,0.7841536998748779,0.6214037225214264,0.7091325037603035
